ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
184,IA_facil,20,Derrota,6,True
184,IA_medio,21,Victoria,8,False
184,IA_dificil,18,Derrota,4,True
185,IA_facil,17,Derrota,6,True
185,IA_medio,18,Victoria,5,True
185,IA_dificil,17,Derrota,4,True
186,IA_facil,17,Derrota,5,True
186,IA_medio,20,Empate,6,True
186,IA_dificil,20,Empate,6,True
187,IA_facil,19,Empate,4,True
187,IA_medio,17,Derrota,5,True
187,IA_dificil,19,Empate,6,False
188,IA_facil,18,Victoria,4,True
188,IA_medio,17,Derrota,4,True
188,IA_dificil,22,Derrota,5,True
189,IA_facil,19,Derrota,5,True
189,IA_medio,18,Derrota,5,True
189,IA_dificil,20,Victoria,7,False
190,IA_facil,17,Derrota,5,True
190,IA_medio,21,Victoria,6,False
190,IA_dificil,11,Derrota,5,False
191,IA_facil,22,Derrota,5,True
191,IA_medio,18,Derrota,6,True
191,IA_dificil,19,Victoria,6,True
192,IA_facil,16,Derrota,5,False
192,IA_medio,21,Victoria,5,False
192,IA_dificil,16,Derrota,4,False
193,IA_facil,17,Derrota,4,True
193,IA_medio,18,Derrota,7,True
193,IA_dificil,19,Victoria,7,True
194,IA_facil,17,Derrota,4,True
194,IA_medio,20,Victoria,6,True
194,IA_dificil,18,Derrota,7,True
195,IA_facil,19,Empate,6,False
195,IA_medio,19,Empate,5,True
195,IA_dificil,19,Empate,4,True
196,IA_facil,17,Derrota,4,True
196,IA_medio,18,Derrota,4,True
196,IA_dificil,20,Victoria,7,False
197,IA_facil,21,Victoria,5,False
197,IA_medio,11,Derrota,4,False
197,IA_dificil,19,Derrota,4,False
198,IA_facil,21,Victoria,6,False
198,IA_medio,13,Derrota,5,False
198,IA_dificil,12,Derrota,5,False
199,IA_facil,19,Derrota,6,True
199,IA_medio,17,Derrota,5,True
199,IA_dificil,20,Victoria,7,False
200,IA_facil,19,Derrota,5,False
200,IA_medio,16,Derrota,5,False
200,IA_dificil,21,Victoria,5,False
201,IA_facil,19,Victoria,4,True
201,IA_medio,17,Derrota,4,True
201,IA_dificil,17,Derrota,7,True
202,IA_facil,17,Empate,7,False
202,IA_medio,17,Empate,5,True
202,IA_dificil,17,Empate,5,True
203,IA_facil,20,Derrota,7,False
203,IA_medio,22,Derrota,5,True
203,IA_dificil,21,Victoria,7,False
204,IA_facil,21,Victoria,8,False
204,IA_medio,18,Derrota,5,True
204,IA_dificil,18,Derrota,5,True
205,IA_facil,18,Victoria,7,False
205,IA_medio,17,Derrota,4,True
205,IA_dificil,17,Derrota,6,True
206,IA_facil,18,Derrota,5,True
206,IA_medio,20,Victoria,7,False
206,IA_dificil,19,Derrota,4,True
207,IA_facil,20,Victoria,5,True
207,IA_medio,18,Derrota,6,True
207,IA_dificil,22,Derrota,5,True
208,IA_facil,21,Victoria,6,False
208,IA_medio,10,Derrota,5,False
208,IA_dificil,20,Derrota,4,True
209,IA_facil,17,Derrota,4,True
209,IA_medio,18,Derrota,4,True
209,IA_dificil,20,Victoria,6,False
210,IA_facil,17,Derrota,5,True
210,IA_medio,19,Victoria,4,True
210,IA_dificil,18,Derrota,4,True
211,IA_facil,14,Derrota,5,False
211,IA_medio,21,Victoria,5,False
211,IA_dificil,13,Derrota,4,False
212,IA_facil,18,Derrota,6,True
212,IA_medio,20,Empate,7,False
212,IA_dificil,20,Empate,6,True
213,IA_facil,20,Victoria,5,False
213,IA_medio,22,Derrota,4,True
213,IA_dificil,19,Derrota,4,True
214,IA_facil,18,Victoria,6,True
214,IA_medio,22,Derrota,7,True
214,IA_dificil,17,Derrota,7,True
215,IA_facil,18,Victoria,8,False
215,IA_medio,17,Derrota,4,True
215,IA_dificil,17,Derrota,4,True
216,IA_facil,20,Empate,6,True
216,IA_medio,20,Empate,4,True
216,IA_dificil,19,Derrota,6,True
217,IA_facil,17,Empate,6,True
217,IA_medio,17,Empate,5,True
217,IA_dificil,17,Empate,7,False
218,IA_facil,18,Empate,6,True
218,IA_medio,18,Empate,6,True
218,IA_dificil,18,Empate,5,True
219,IA_facil,17,Derrota,6,True
219,IA_medio,19,Victoria,5,True
219,IA_dificil,17,Derrota,4,True
220,IA_facil,22,Derrota,6,True
220,IA_medio,17,Empate,5,True
220,IA_dificil,17,Empate,6,False
221,IA_facil,17,Derrota,5,True
221,IA_medio,17,Derrota,7,True
221,IA_dificil,18,Victoria,5,True
222,IA_facil,19,Empate,4,True
222,IA_medio,17,Derrota,5,True
222,IA_dificil,19,Empate,7,False
223,IA_facil,17,Derrota,7,True
223,IA_medio,19,Victoria,8,False
223,IA_dificil,18,Derrota,4,True
224,IA_facil,17,Derrota,7,True
224,IA_medio,17,Derrota,6,True
224,IA_dificil,18,Victoria,5,True
225,IA_facil,17,Derrota,4,True
225,IA_medio,19,Victoria,7,False
225,IA_dificil,18,Derrota,5,True
226,IA_facil,17,Empate,4,True
226,IA_medio,17,Empate,4,True
226,IA_dificil,17,Empate,6,False
227,IA_facil,17,Derrota,3,True
227,IA_medio,20,Victoria,5,True
227,IA_dificil,18,Derrota,7,True
228,IA_facil,17,Derrota,4,True
228,IA_medio,19,Victoria,6,False
228,IA_dificil,18,Derrota,5,True
229,IA_facil,17,Derrota,6,True
229,IA_medio,19,Empate,5,True
229,IA_dificil,19,Empate,6,True
230,IA_facil,17,Derrota,6,True
230,IA_medio,22,Derrota,7,True
230,IA_dificil,18,Victoria,4,True
231,IA_facil,18,Derrota,5,True
231,IA_medio,17,Derrota,5,True
231,IA_dificil,20,Victoria,4,True
232,IA_facil,22,Derrota,5,True
232,IA_medio,18,Derrota,5,True
232,IA_dificil,19,Victoria,6,False
233,IA_facil,20,Empate,7,False
233,IA_medio,20,Empate,5,True
233,IA_dificil,18,Derrota,5,True
234,IA_facil,20,Victoria,8,False
